TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,140,998,CC,false,3,A,0,0,,0,
3,140,998,CC,false,3,A,0,0,,0,
5,140,998,CC,false,6,A,0,0,,0,
6,140,998,CC,false,6,A,0,0,,0,
8,120,998,CC,false,9,A,0,0,,0,
9,120,998,CC,false,9,A,0,0,,0,
11,110,998,CC,false,12,A,0,0,,0,
12,110,998,CC,false,12,A,0,0,,0,
17,150,998,CC,false,18,A,0,0,,0,
18,150,998,CC,false,18,A,0,0,,0,
20,150,998,CC,false,21,A,0,0,,0,
21,150,998,CC,false,21,A,0,0,,0,
26,100,998,CC,false,26,A,0,0,,0,
28,110,998,CC,false,28,A,0,0,,0,
30,110,998,CC,false,28,A,0,0,,0,
32,100,998,CC,false,32,A,0,0,,0,
34,100,998,CC,false,34,A,0,0,,0,
36,110,998,CC,false,36,A,0,0,,0,
39,130,998,CC,false,40,A,0,0,,0,
40,130,998,CC,false,40,A,0,0,,0,
46,100,998,CC,false,34,A,0,0,,0,
48,120,998,CC,false,49,A,0,0,,0,
49,120,998,CC,false,49,A,0,0,,0,
52,100,998,CC,false,32,A,0,0,,0,
54,120,998,CC,false,55,A,0,0,,0,
55,120,998,CC,false,55,A,0,0,,0,
57,100,998,CC,false,58,A,0,0,,0,
58,100,998,CC,false,58,A,0,0,,0,
61,100,998,CC,false,26,A,0,0,,0,
63,220,998,CC,false,64,A,0,0,,0,
64,220,998,CC,false,64,A,0,0,,0,
66,110,998,CC,false,36,A,0,0,,0,
79,110,998,CC,false,80,A,0,0,,0,
80,110,998,CC,false,80,A,0,0,,0,
82,100,998,CC,false,83,A,0,0,,0,
83,100,998,CC,false,83,A,0,0,,0,
85,140,998,CC,false,86,A,0,0,,0,
86,140,998,CC,false,86,A,0,0,,0,
88,140,998,CC,false,89,A,0,0,,0,
89,140,998,CC,false,89,A,0,0,,0,
91,100,998,CC,false,91,A,0,0,,0,
93,120,998,CC,false,94,A,0,0,,0,
94,120,998,CC,false,94,A,0,0,,0,
96,150,998,CC,false,97,A,0,0,,0,
97,150,998,CC,false,97,A,0,0,,0,
99,150,998,CC,false,100,A,0,0,,0,
100,150,998,CC,false,100,A,0,0,,0,
103,110,998,CC,false,103,A,0,0,,0,
105,110,998,CC,false,103,A,0,0,,0,
107,130,998,CC,false,107,A,0,0,,0,
111,100,998,CC,false,111,A,0,0,,0,
114,130,998,CC,false,107,A,0,0,,0,
117,100,998,CC,false,111,A,0,0,,0,
119,100,998,CC,false,91,A,0,0,,0,
121,120,998,CC,false,121,A,0,0,,0,
123,110,998,CC,false,123,A,0,0,,0,
125,110,998,CC,false,125,A,0,0,,0,
127,120,998,CC,false,121,A,0,0,,0,
129,100,998,CC,false,130,A,0,0,,0,
130,100,998,CC,false,130,A,0,0,,0,
139,110,998,CC,false,140,A,0,0,,0,
140,110,998,CC,false,140,A,0,0,,0,
142,160,998,CC,false,142,A,0,0,,0,
152,170,998,CC,false,153,A,0,0,,0,
153,170,998,CC,false,153,A,0,0,,0,
155,110,998,CC,false,155,A,0,0,,0,
